Delta T (s),Lunation Number,Saros Number,Eclipse Type,Gamma,Eclipse Magnitude,Latitude,Longitude,Sun Altitude,Sun Azimuth,Path Width (km),Central Duration,Time JD
30966,-40799,46,P,-1.2611,0.5164,-70.0,93.9,0,320,0.0,0,1246732.207523148
30958,-40794,13,P,-1.2986,0.4466,-71.6,1.2,0,95,0.0,0,1246879.0890509258
30956,-40793,51,P,1.4304,0.2084,70.5,-29.8,0,228,0.0,0,1246908.5715625002
30948,-40788,18,A,0.7279,0.9415,44.7,166.1,43,154,312.0,356,1247056.8497337962
30939,-40782,23,T,-0.6217,1.0471,-33.7,-154.9,51,22,199.0,230,1247233.7488888886
30929,-40776,28,A,-0.026,0.955,-5.1,178.0,88,343,164.0,335,1247410.8724537035
30919,-40770,33,H3,0.0674,1.0168,10.8,1.4,86,197,58.0,100,1247588.3566666667
30910,-40764,38,A,-0.7705,0.9943,-55.2,117.5,39,330,31.0,27,1247765.1055787038
30900,-40758,43,A,0.8213,0.9575,62.8,-105.0,34,215,271.0,203,1247942.7301157408
30892,-40753,10,P,1.1619,0.7057,68.5,21.4,0,161,0.0,0,1248090.2549768519
30890,-40752,48,P,-1.4471,0.1655,-70.7,32.7,0,232,0.0,0,1248119.6300578704
30882,-40747,15,P,-1.3687,0.333,-67.6,77.4,0,9,0.0,0,1248267.1172685185
30873,-40741,20,T,0.4862,1.0422,6.8,157.2,61,177,161.0,251,1248444.9270601852
30863,-40735,25,A,-0.5951,0.9727,-13.2,52.5,53,359,122.0,204,1248621.212037037
30853,-40729,30,A,-0.219,0.9924,-36.4,-36.3,77,2,27.0,45,1248799.4643055554
30844,-40723,35,T,0.1903,1.0335,35.0,-90.6,79,174,115.0,184,1248975.6018171296
30834,-40717,40,A,-0.962,0.9279,-79.5,90.0,15,146,1036.0,275,1249153.710625
30825,-40711,45,T,0.9192,1.0642,80.8,-53.7,23,84,544.0,202,1249330.2442824072
30817,-40706,12,P,1.4032,0.2788,62.0,-143.7,0,231,0.0,0,1249477.9010185187
30807,-40700,17,T,-0.8723,1.0422,-39.8,-81.8,29,330,283.0,201,1249655.653611111
30797,-40694,22,A,0.671,0.9665,24.8,126.5,48,207,159.0,203,1249832.0494444445
30788,-40688,27,A,-0.1168,0.9951,6.3,84.3,83,334,17.0,30,1250010.1264583333
30778,-40682,32,T,-0.046,1.0254,-11.9,-56.4,87,27,86.0,134,1250186.502662037
30769,-40676,37,A,0.6738,0.9494,44.3,-5.5,47,140,246.0,278,1250364.296863426
30759,-40670,42,T,-0.7127,1.0436,-43.6,47.3,44,41,204.0,183,1250541.140439815
30751,-40665,9,P,-1.4191,0.2421,-60.9,-22.6,0,255,0.0,0,1250688.7151736112
30749,-40664,47,P,1.4205,0.2425,60.6,-83.1,0,81,0.0,0,1250718.3179861114
30741,-40659,14,P,1.3215,0.4079,61.1,136.5,0,292,0.0,0,1250866.282222222
30740,-40658,52,P,-1.4092,0.2444,-60.8,117.9,0,92,0.0,0,1250895.7693287036
30732,-40653,19,H,-0.6178,1.0105,-44.2,144.2,52,322,45.0,49,1251043.0307060187
30722,-40647,24,A,0.6455,0.9499,49.4,-53.0,50,219,238.0,263,1251220.5733449075
30712,-40641,29,T,0.1281,1.0569,-8.2,-90.8,83,156,189.0,296,1251397.6124768518
30703,-40635,34,A,-0.0758,0.9343,13.8,-91.1,86,22,246.0,488,1251574.6059837963
30693,-40629,39,T,0.8283,1.0488,34.3,3.7,34,155,285.0,236,1251752.2984259261
30684,-40623,44,A,-0.8011,0.954,-30.5,-121.3,37,20,276.0,306,1251928.6466550927
30676,-40618,11,P,-1.2116,0.603,-65.5,170.0,0,193,0.0,0,1252077.349097222
30666,-40612,16,P,1.1309,0.7633,66.4,94.6,0,356,0.0,0,1252253.5761458336
30665,-40611,54,Pb,-1.4893,0.0993,-63.8,109.3,0,30,0.0,0,1252282.9600810183
30656,-40606,21,A,-0.5523,0.9249,-57.1,-52.5,56,359,340.0,436,1252431.5039814815
30647,-40600,26,T,0.3708,1.0793,44.5,30.6,68,177,276.0,363,1252608.2598263887
30637,-40594,31,A,0.1275,0.9205,-14.7,-40.3,83,184,303.0,671,1252785.4653472223
30628,-40588,36,T,-0.3759,1.0598,-1.2,140.9,68,354,212.0,354,1252962.9629166666
30618,-40582,41,A,0.8014,0.9512,33.4,-64.0,36,189,299.0,322,1253139.5488310186
30610,-40577,8,Pe,1.5267,0.0471,71.1,2.3,0,61,0.0,0,1253288.019363426
30609,-40576,46,P,-1.1866,0.6517,-69.2,-23.1,0,332,0.0,0,1253317.4937962962
30601,-40571,13,P,-1.3024,0.4395,-71.4,-145.0,0,109,0.0,0,1253464.4515972224
30599,-40570,51,P,1.4278,0.2125,69.7,-175.3,0,215,0.0,0,1253493.9355324076
30591,-40565,18,A,0.8073,0.9413,55.1,59.4,36,148,365.0,322,1253642.1199421296
30581,-40559,23,T,-0.6338,1.0435,-38.9,72.1,50,23,187.0,206,1253819.1087962962
30572,-40553,28,A,0.0446,0.9596,3.0,72.8,87,162,147.0,298,1253996.1538310184
30562,-40547,33,H,0.0489,1.011,5.4,-125.3,87,198,38.0,67,1254173.7018287037
30553,-40541,38,H,-0.7102,1.0018,-46.3,0.6,44,334,9.0,9,1254350.4107638889
30543,-40535,43,A,0.7954,0.9523,56.3,133.1,37,212,286.0,244,1254528.0527430556
30535,-40530,10,P,1.1908,0.6513,69.4,-116.1,0,149,0.0,0,1254675.5993634257
30534,-40529,48,P,-1.3965,0.2597,-71.2,-99.2,0,245,0.0,0,1254704.9550578706
30526,-40524,15,P,-1.4274,0.234,-68.6,-38.4,0,20,0.0,0,1254852.4028472223
30524,-40523,53,Pb,1.5325,0.0604,70.8,-149.9,0,306,0.0,0,1254882.117372685
30516,-40518,20,T,0.5111,1.043,10.3,28.8,59,173,167.0,253,1255030.275486111
30506,-40512,25,A,-0.6565,0.9724,-18.9,-57.4,49,3,131.0,200,1255206.5065856483
30497,-40506,30,A,-0.2007,0.992,-34.0,-158.4,78,357,29.0,48,1255384.805578704
30487,-40500,35,T,0.1255,1.0347,30.8,158.6,83,179,118.0,196,1255560.9105439815
30478,-40494,40,A,-0.9485,0.9288,-84.2,-50.3,18,166,873.0,279,1255739.0402777777
30468,-40488,45,T,0.8514,1.0658,81.2,-106.7,31,146,415.0,221,1255915.5583912036
30460,-40483,12,P,1.4043,0.2764,62.8,84.2,0,222,0.0,0,1256063.238738426
30451,-40477,17,T,-0.9513,1.0356,-48.6,171.8,17,330,389.0,163,1256240.9532523148
30441,-40471,22,A,0.6696,0.9691,22.1,-4.3,48,203,147.0,193,1256417.4025694444
30431,-40465,27,A,-0.2,0.9919,5.2,-17.5,78,337,29.0,52,1256595.4078472222
30422,-40459,32,T,-0.0451,1.0267,-16.0,170.4,87,25,91.0,141,1256771.8684837963
30412,-40453,37,A,0.5883,0.9502,43.6,-98.4,54,143,223.0,281,1256949.5628240742
30403,-40447,42,T,-0.7083,1.0418,-47.8,-87.6,45,42,196.0,171,1257126.507650463
30395,-40442,9,P,-1.4786,0.1367,-60.7,-137.1,0,264,0.0,0,1257274.0047916668
30393,-40441,47,P,1.3379,0.384,60.9,169.7,0,73,0.0,0,1257303.5875810185
30385,-40436,14,P,1.3499,0.3575,60.8,5.1,0,283,0.0,0,1257451.618634259
30384,-40435,52,P,-1.4049,0.2535,-60.9,-21.0,0,101,0.0,0,1257481.127037037
30376,-40430,19,T,-0.6692,1.0162,-42.9,31.8,48,320,74.0,75,1257628.3444791667
30366,-40424,24,A,0.6835,0.9439,47.3,-164.7,47,221,279.0,298,1257805.8858912038
30357,-40418,29,T,0.0837,1.0619,-6.9,148.5,85,153,204.0,313,1257982.9448726852
30347,-40412,34,A,-0.0277,0.9313,13.1,161.4,88,26,257.0,495,1258159.9029282408
30338,-40406,39,T,0.7933,1.0515,33.2,-121.6,37,151,275.0,245,1258337.6378703704
30328,-40400,44,A,-0.7469,0.9546,-27.4,127.8,41,23,244.0,299,1258513.9475115743
30320,-40395,11,P,-1.228,0.5743,-64.5,35.4,0,203,0.0,0,1258662.6910416668
30311,-40389,16,P,1.194,0.6444,65.4,-28.2,0,346,0.0,0,1258838.884375
30309,-40388,54,P,-1.4312,0.2056,-63.0,-14.5,0,40,0.0,0,1258868.2735185185
30301,-40383,21,A,-0.564,0.9252,-58.2,-166.4,55,350,342.0,427,1259016.8344560184
30291,-40377,26,T,0.4405,1.0773,49.9,-80.2,64,183,279.0,339,1259193.5723958334
30282,-40371,31,A,0.1197,0.9229,-16.6,-160.6,83,179,293.0,644,1259370.7969907408
30272,-40365,36,T,-0.3036,1.0564,4.9,28.3,72,358,195.0,338,1259548.2678009258
30263,-40359,41,A,0.7974,0.9548,31.1,166.0,37,184,274.0,303,1259724.896886574
30253,-40353,46,P,-1.1127,0.7847,-68.3,-139.5,0,343,0.0,0,1259902.7801273149
30245,-40348,13,P,-1.3035,0.4376,-70.9,68.2,0,123,0.0,0,1260049.8170833334
30244,-40347,51,P,1.4249,0.2172,68.8,39.9,0,202,0.0,0,1260079.2996875
30236,-40342,18,A,0.8905,0.9403,66.4,-53.0,27,136,487.0,289,1260227.3865972222
30226,-40336,23,T,-0.6412,1.0404,-43.8,-61.7,50,24,175.0,185,1260404.472476852
30217,-40330,28,Am,0.122,0.9638,11.5,-30.6,83,162,132.0,261,1260581.4301157407
30207,-40324,33,H,0.0373,1.0056,0.3,106.3,88,198,19.0,35,1260759.0521180558
30198,-40318,38,H,-0.6432,1.0088,-37.4,-114.0,50,337,40.0,48,1260935.7113078705
30188,-40312,43,A,0.7766,0.9474,50.4,10.0,39,209,304.0,288,1261113.3808333331
30180,-40307,10,P,1.2271,0.5823,70.2,107.9,0,137,0.0,0,1261260.937800926
30179,-40306,48,P,-1.3398,0.3669,-71.6,130.2,0,259,0.0,0,1261290.2753124998
30171,-40301,15,P,-1.4779,0.1492,-69.5,-157.3,0,32,0.0,0,1261437.6954282408
30169,-40300,53,P,1.5024,0.1122,71.4,83.4,0,293,0.0,0,1261467.4275347225
30161,-40295,20,T,0.543,1.0438,15.0,-98.0,57,169,174.0,251,1261615.6179398147
30152,-40289,25,A,-0.7115,0.9717,-25.1,-170.1,44,8,144.0,195,1261791.8070717594
30142,-40283,30,A,-0.1763,0.9919,-30.4,80.8,80,352,29.0,50,1261970.1410300925
30133,-40277,35,T,0.0662,1.0352,26.1,45.2,86,183,119.0,204,1262146.2244560185
30123,-40271,40,A,-0.9287,0.9302,-87.0,106.6,21,251,722.0,285,1262324.3640162037
30114,-40265,45,T,0.7885,1.066,75.7,166.8,38,177,353.0,235,1262500.8768287036
30106,-40260,12,P,1.4054,0.2739,63.7,-48.3,0,212,0.0,0,1262648.5764351853
30096,-40254,17,P,-1.03,0.9518,-63.2,72.5,0,323,0.0,0,1262826.2525810187
30095,-40253,55,Pb,1.5161,0.0296,65.7,107.5,0,11,0.0,0,1262855.5806828705
30087,-40248,22,A,0.6676,0.9723,20.0,-135.5,48,199,132.0,179,1263002.7569560185
30077,-40242,27,A,-0.284,0.9882,3.2,-118.8,74,340,43.0,79,1263180.6875694445
30068,-40236,32,T,-0.045,1.0285,-19.6,37.0,87,22,97.0,152,1263357.2357523148
30058,-40230,37,A,0.4999,0.9505,42.6,169.7,60,148,208.0,289,1263534.826377315
30049,-40224,42,T,-0.7064,1.0405,-52.2,137.4,45,42,190.0,163,1263711.876909722
30041,-40219,9,Pe,-1.5425,0.0226,-60.7,109.6,0,272,0.0,0,1263859.2912384258
30039,-40218,47,P,1.2528,0.5306,61.2,62.6,0,64,0.0,0,1263888.8563657408
30031,-40213,14,P,1.3727,0.3176,60.6,-127.7,0,274,0.0,0,1264036.9593518518
30030,-40212,52,P,-1.4034,0.2573,-61.2,-160.8,0,111,0.0,0,1264066.486736111
30022,-40207,19,T,-0.7255,1.0214,-42.2,-79.6,43,319,104.0,98,1264213.6550578706
30012,-40201,24,A,0.7145,0.9384,44.8,80.3,44,222,319.0,334,1264391.2037731481
30003,-40195,29,T,0.0324,1.0665,-5.5,29.8,88,151,217.0,329,1264568.272002315
29993,-40189,34,A,0.0126,0.9285,11.4,51.2,89,205,268.0,504,1264745.206724537
29984,-40183,39,T,0.7504,1.0542,32.3,116.2,41,148,265.0,254,1264922.9705092593
29974,-40177,44,A,-0.7012,0.9549,-26.1,14.0,45,27,225.0,290,1265099.2566550926
29966,-40172,11,P,-1.2527,0.531,-63.6,-96.1,0,213,0.0,0,1265248.025486111
29965,-40171,49,Pb,1.518,0.0493,61.8,-131.1,0,122,0.0,0,1265277.5550925925
29957,-40166,16,P,1.251,0.5366,64.5,-152.8,0,336,0.0,0,1265424.1985879631
29955,-40165,54,P,-1.3813,0.297,-62.2,-141.0,0,49,0.0,0,1265453.5951041665
29948,-40160,21,A,-0.5821,0.926,-58.2,81.9,54,342,343.0,416,1265602.1595717594
29938,-40154,26,T,0.5071,1.0744,54.3,169.8,59,190,281.0,314,1265778.8877662036
29929,-40148,31,A,0.1084,0.9259,-17.8,80.2,84,175,280.0,606,1265956.126238426
29919,-40142,36,T,-0.2321,1.0522,10.2,-83.8,77,2,178.0,313,1266133.5731597224
29910,-40136,41,A,0.7919,0.9591,29.3,36.4,37,179,244.0,276,1266310.244201389
29900,-40130,46,P,-1.0381,0.9177,-67.3,105.0,0,354,0.0,0,1266488.0653472224
29892,-40125,13,P,-1.3014,0.4415,-70.2,-79.4,0,136,0.0,0,1266635.1858564815
29891,-40124,51,P,1.4217,0.2222,67.7,-104.4,0,190,0.0,0,1266664.6640856483
29883,-40119,18,A,0.9763,0.9374,75.7,156.2,12,84,1145.0,256,1266812.6506018518
29873,-40113,23,T,-0.6452,1.0377,-48.6,164.5,50,24,165.0,168,1266989.838935185
29864,-40107,28,A,0.2012,0.9677,20.1,-133.7,78,163,119.0,225,1267166.705613426
29854,-40101,33,H,0.0303,1.0006,-4.6,-23.2,88,198,2.0,4,1267344.4057060187
29845,-40095,38,T,-0.5722,1.0155,-28.5,132.8,55,340,64.0,89,1267521.0094791667
29835,-40089,43,A,0.7632,0.9428,45.1,-114.3,40,206,324.0,333,1267698.712974537
29828,-40084,10,P,1.2695,0.501,70.9,-26.8,0,124,0.0,0,1267846.2713541666
29826,-40083,48,P,-1.2781,0.4845,-71.7,0.7,0,272,0.0,0,1267875.5920254628
29818,-40078,15,P,-1.5203,0.0785,-70.3,80.7,0,44,0.0,0,1268022.9951504627
29817,-40077,53,P,1.4788,0.1527,71.7,-45.9,0,279,0.0,0,1268052.7434722222
29809,-40072,20,T,0.5822,1.0442,20.6,137.0,54,166,181.0,246,1268200.953912037
29799,-40066,25,A,-0.7576,0.9709,-31.2,73.5,41,12,159.0,188,1268377.1158680555
29790,-40060,30,A,-0.1445,0.9918,-25.7,-38.3,82,349,29.0,52,1268555.4695601852
29780,-40054,35,T,0.0136,1.0354,21.0,-71.2,89,186,119.0,208,1268731.5445254631
29771,-40048,40,A,-0.9016,0.9321,-81.7,-64.8,25,305,596.0,292,1268909.6809953705
29761,-40042,45,T,0.7314,1.0651,69.2,59.6,43,189,314.0,244,1269086.2000231484
29754,-40037,12,P,1.4105,0.2645,64.6,180.0,0,202,0.0,0,1269233.9112962962
29744,-40031,17,P,-1.1075,0.8047,-64.0,-46.4,0,332,0.0,0,1269411.5520717592
29742,-40030,55,P,1.4588,0.1408,66.6,-17.7,0,1,0.0,0,1269440.895289352
29735,-40025,22,A,0.6673,0.9762,18.6,93.6,48,194,113.0,157,1269588.1105092592
29725,-40019,27,A,-0.368,0.9838,0.4,139.7,68,344,61.0,114,1269765.9665972223
29716,-40013,32,T,-0.0448,1.0308,-22.6,-96.0,87,18,104.0,166,1269942.6031828702
29706,-40007,37,A,0.4107,0.9502,41.1,78.1,66,154,199.0,303,1270120.0891898146
29697,-40001,42,T,-0.7069,1.0396,-56.7,2.8,45,41,187.0,156,1270297.2480439814
29687,-39995,47,P,1.1641,0.6844,61.7,-43.7,0,56,0.0,0,1270474.1229513888
29680,-39990,14,P,1.3892,0.2894,60.6,97.8,0,265,0.0,0,1270622.3048842594
29678,-39989,52,P,-1.406,0.2534,-61.6,58.4,0,120,0.0,0,1270651.849398148
29670,-39984,19,T,-0.7875,1.0261,-42.6,170.6,38,318,140.0,119,1270798.9613888888
29661,-39978,24,A,0.7381,0.9334,42.0,-38.0,42,221,359.0,372,1270976.5274074075
29651,-39972,29,Tm,-0.0247,1.0707,-4.2,-87.3,89,331,230.0,345,1271153.5946412038
29642,-39966,34,A,0.0445,0.9261,8.8,-61.9,87,208,278.0,516,1271330.517673611
29632,-39960,39,T,0.7022,1.0564,32.0,-3.7,45,146,256.0,260,1271508.2984722224
29623,-39954,44,A,-0.6621,0.955,-26.2,-101.9,48,30,213.0,280,1271684.5721990743
29615,-39949,11,P,-1.2827,0.4785,-62.7,134.5,0,222,0.0,0,1271833.354733796
29613,-39948,49,P,1.4798,0.1189,61.3,102.7,0,113,0.0,0,1271862.876550926
29606,-39943,16,P,1.3033,0.4377,63.6,81.2,0,327,0.0,0,1272009.5174768518
29604,-39942,54,P,-1.3375,0.3772,-61.6,90.5,0,58,0.0,0,1272038.9227662038
29596,-39937,21,A,-0.6069,0.9271,-57.5,-27.9,52,333,344.0,402,1272187.4785300924
29587,-39931,26,T,0.5689,1.0709,57.1,60.1,55,199,281.0,289,1272364.2070601853
29577,-39925,31,A,0.0909,0.9295,-18.4,-37.2,85,170,265.0,559,1272541.4507407409
29568,-39919,36,T,-0.1653,1.0474,14.5,163.7,81,6,160.0,281,1272718.8816435186
29558,-39913,41,A,0.781,0.9641,27.5,-91.7,38,174,208.0,242,1272895.5878819444
29549,-39907,46,A,-0.9665,0.982,-52.1,-8.8,14,3,258.0,97,1273073.352662037
29541,-39902,13,P,-1.299,0.446,-69.4,133.4,0,149,0.0,0,1273220.5554282407
29540,-39901,51,P,1.4155,0.2325,66.7,112.7,0,179,0.0,0,1273250.0262615741
29532,-39896,18,P,1.0644,0.8521,69.9,10.4,0,36,0.0,0,1273397.912210648
29522,-39890,23,T,-0.6465,1.0355,-53.1,31.0,49,22,156.0,154,1273575.2076388889
29513,-39884,28,A,0.2843,0.9711,28.7,124.5,73,164,108.0,192,1273751.9786689815
29504,-39878,33,Am,0.0274,0.9963,-9.0,-153.5,88,196,13.0,24,1273929.7622337963
29494,-39872,38,T,-0.497,1.0216,-19.9,21.1,60,343,84.0,129,1274106.305150463
29485,-39866,43,A,0.7557,0.9386,40.5,120.1,41,203,344.0,379,1274284.049814815
29477,-39861,10,P,1.3184,0.4067,71.3,-160.0,0,110,0.0,0,1274431.5995370368
29475,-39860,48,P,-1.2117,0.6122,-71.5,-127.5,0,286,0.0,0,1274460.9051620371
29468,-39855,15,Pe,-1.5551,0.0209,-71.0,-44.3,0,57,0.0,0,1274608.3016203702
29466,-39854,53,P,1.4614,0.1825,71.7,-177.3,0,265,0.0,0,1274638.0650347224
29458,-39849,20,T,0.628,1.0444,27.2,13.5,51,162,189.0,236,1274786.2840046298
29449,-39843,25,A,-0.7961,0.9701,-37.4,-45.9,37,17,176.0,181,1274962.4316203706
29439,-39837,30,A,-0.1046,0.9918,-20.0,-155.7,84,346,29.0,53,1275140.7905439814
29430,-39831,35,T,-0.0318,1.0351,15.6,169.4,88,11,118.0,207,1275316.8711342593
29420,-39825,40,A,-0.8674,0.9343,-74.4,167.9,29,318,497.0,301,1275494.9914120368
29411,-39819,45,T,0.68,1.0636,62.4,-55.7,47,196,285.0,251,1275671.528113426
29403,-39814,12,P,1.4187,0.2496,65.7,48.8,0,191,0.0,0,1275819.2437152776
29394,-39808,17,P,-1.1819,0.6646,-65.0,-166.2,0,342,0.0,0,1275996.853298611
29392,-39807,55,P,1.4063,0.242,67.6,-144.7,0,350,0.0,0,1276026.2135532405
29385,-39802,22,A,0.669,0.9806,18.1,-36.8,48,190,93.0,130,1276173.463136574
29375,-39796,27,A,-0.4513,0.979,-3.5,37.8,63,348,83.0,154,1276351.2453124998
29366,-39790,32,T,-0.0436,1.0336,-24.7,131.6,87,14,114.0,183,1276527.9702430554
29356,-39784,37,A,0.3222,0.9495,39.1,-14.0,71,159,196.0,324,1276705.3524305555
29347,-39778,42,T,-0.7066,1.0392,-60.9,-129.8,45,38,186.0,153,1276882.6182523149
29338,-39772,47,P,1.0766,0.8367,62.3,-150.9,0,47,0.0,0,1277059.3915625
29330,-39767,14,P,1.4006,0.2702,60.8,-37.9,0,256,0.0,0,1277207.6538657406
29328,-39766,52,P,-1.4101,0.2466,-62.2,-82.8,0,130,0.0,0,1277237.2124074074
29320,-39761,19,T,-0.8528,1.0299,-44.3,61.8,31,318,189.0,134,1277384.265636574
29311,-39755,24,A,0.7562,0.9289,39.3,-158.6,41,219,395.0,413,1277561.8550925925
29302,-39749,29,T,-0.0874,1.0743,-3.0,157.3,85,331,242.0,360,1277738.9129861111
29292,-39743,34,A,0.0692,0.9239,5.7,-177.5,86,209,287.0,529,1277915.835011574
29283,-39737,39,T,0.6458,1.0582,32.0,-120.3,50,145,246.0,266,1278093.6193634258
29273,-39731,44,A,-0.6319,0.9552,-27.7,139.1,51,32,206.0,269,1278269.8961805555
29266,-39726,11,P,-1.3218,0.4101,-62.0,8.4,0,232,0.0,0,1278418.6756365742
29264,-39725,49,P,1.4331,0.204,61.0,-20.5,0,104,0.0,0,1278448.190127315
29256,-39720,16,P,1.3489,0.3516,62.8,-46.7,0,318,0.0,0,1278594.8425925924
29255,-39719,54,P,-1.3014,0.4434,-61.1,-40.4,0,67,0.0,0,1278624.257650463
29247,-39714,21,A,-0.6394,0.9285,-56.2,-136.0,50,326,347.0,388,1278772.7907407407
29238,-39708,26,T,0.6254,1.0668,58.4,-50.4,51,208,280.0,265,1278949.5307407407
29228,-39702,31,A,0.0678,0.9337,-18.4,-152.9,86,165,248.0,507,1279126.7708680555
29219,-39696,36,Tm,-0.1014,1.0419,17.6,51.1,84,11,141.0,244,1279304.1919907408
29209,-39690,41,A,0.7663,0.9697,26.1,141.3,40,170,169.0,201,1279480.9290625001
29200,-39684,46,A,-0.8972,0.9796,-39.9,-118.1,26,8,165.0,123,1279658.6413310184
29192,-39679,13,P,-1.2967,0.4503,-68.4,-13.4,0,162,0.0,0,1279805.9253703705
29191,-39678,51,P,1.406,0.2491,65.6,-28.8,0,168,0.0,0,1279835.3859606483
29183,-39673,18,P,1.1519,0.7025,69.0,-97.5,0,24,0.0,0,1279983.174039352
29174,-39667,23,T,-0.6463,1.0337,-57.1,-101.3,49,19,149.0,144,1280160.577627315
29164,-39661,28,A,0.3675,0.974,37.2,23.1,68,165,100.0,162,1280337.252164352
29155,-39655,33,A,0.027,0.9923,-12.9,76.0,89,194,27.0,49,1280515.1202314813
29145,-39649,38,T,-0.4199,1.0271,-11.5,-89.9,65,345,101.0,167,1280691.6003124998
29136,-39643,43,A,0.7517,0.935,36.5,-6.3,41,199,363.0,424,1280869.3889236113
29128,-39638,10,P,1.3732,0.3005,71.6,68.3,0,97,0.0,0,1281016.9226967592
29127,-39637,48,P,-1.1418,0.7476,-71.2,105.6,0,299,0.0,0,1281046.2156828702
29117,-39631,53,P,1.4493,0.2033,71.5,49.6,0,250,0.0,0,1281223.3912731481
29110,-39626,20,T,0.6804,1.0439,34.6,-108.5,47,159,198.0,221,1281371.6080555555
29100,-39620,25,A,-0.8269,0.9694,-43.4,-168.5,34,22,194.0,173,1281547.7546412037
29091,-39614,30,A,-0.0573,0.9916,-13.5,88.7,87,344,30.0,55,1281726.1045949073
29082,-39608,35,T,-0.0696,1.0347,10.1,47.2,86,14,117.0,204,1281902.2045370373
29072,-39602,40,A,-0.824,0.9367,-66.4,49.4,34,325,417.0,312,1282080.2936574074
29063,-39596,45,T,0.6354,1.0613,55.8,-175.8,50,199,261.0,255,1282256.8618171294
29055,-39591,12,P,1.4327,0.2247,66.7,-81.3,0,180,0.0,0,1282404.5715046297
29054,-39590,50,Pb,-1.5351,0.054,-69.5,170.1,0,211,0.0,0,1282434.2867361112
29046,-39585,17,P,-1.2523,0.5332,-66.0,72.9,0,352,0.0,0,1282582.156886574
29044,-39584,55,P,1.3603,0.3301,68.6,85.9,0,339,0.0,0,1282611.5369328703
29036,-39579,22,A,0.6758,0.9855,18.7,-166.0,47,185,70.0,97,1282758.8120717593
29027,-39573,27,A,-0.5311,0.9736,-8.1,-65.4,58,352,111.0,199,1282936.525925926
29018,-39567,32,Tm,-0.0403,1.037,-25.9,0.1,88,10,124.0,202,1283113.3355902778
29008,-39561,37,A,0.2344,0.9482,36.1,-106.8,76,165,196.0,351,1283290.6161458332
28999,-39555,42,T,-0.7065,1.0393,-64.6,100.1,45,32,186.0,152,1283467.9883333333
28990,-39549,47,An,0.9885,0.9524,68.7,114.3,8,49,0.0,170,1283644.6604050926
28982,-39544,14,P,1.4082,0.2579,61.1,-174.8,0,247,0.0,0,1283793.0059143517
28980,-39543,52,P,-1.4147,0.2388,-63.0,135.8,0,139,0.0,0,1283822.5755671298
28973,-39538,19,T,-0.9229,1.0323,-48.5,-44.1,22,317,278.0,141,1283969.5666782407
28963,-39532,24,A,0.7685,0.9251,36.7,78.3,40,216,427.0,455,1284147.1873611112
28954,-39526,29,T,-0.1542,1.0772,-2.2,43.0,81,331,252.0,376,1284324.2283333333
28945,-39520,34,A,0.0883,0.9223,2.1,64.8,85,209,295.0,543,1284501.1574421297
28935,-39514,39,T,0.5854,1.0595,32.3,124.9,54,145,237.0,270,1284678.9366435185
28926,-39508,44,A,-0.6079,0.9555,-30.0,18.0,52,34,200.0,258,1284855.2260879627
28918,-39503,11,P,-1.3676,0.3297,-61.4,-115.2,0,241,0.0,0,1285003.9899421295
28917,-39502,49,P,1.3801,0.3006,60.8,-141.4,0,95,0.0,0,1285033.497650463
28909,-39497,16,P,1.3888,0.2764,62.1,-176.3,0,308,0.0,0,1285180.1731712965
28907,-39496,54,P,-1.2717,0.4978,-60.8,-173.3,0,76,0.0,0,1285209.5986458333
28900,-39491,21,A,-0.6793,0.93,-54.7,117.5,47,321,354.0,374,1285358.0963078702
28890,-39485,26,T,0.6756,1.0623,58.2,-163.2,47,216,276.0,242,1285534.8596064814
28881,-39479,31,A,0.0364,0.9381,-18.0,93.7,88,160,230.0,453,1285712.084733796
28872,-39473,36,T,-0.044,1.036,19.4,-62.7,88,16,121.0,206,1285889.5072685187
28862,-39467,41,A,0.7449,0.9758,24.8,16.3,42,165,128.0,156,1286066.265601852
28853,-39461,46,A,-0.8318,0.9758,-32.3,132.9,33,12,155.0,155,1286243.9329629631
28845,-39456,13,P,-1.2966,0.4505,-67.4,-159.0,0,173,0.0,0,1286391.2940277779
28844,-39455,51,P,1.3915,0.2749,64.6,-168.4,0,158,0.0,0,1286420.741886574
28836,-39450,18,P,1.2388,0.5539,68.1,155.0,0,13,0.0,0,1286568.4362731483
28827,-39444,23,T,-0.6469,1.0326,-60.6,128.7,49,13,145.0,137,1286745.9468402779
28817,-39438,28,A,0.4515,0.9763,45.6,-77.4,63,168,95.0,138,1286922.5257523148
28808,-39432,33,A,0.028,0.9891,-16.3,-54.4,88,191,38.0,71,1287100.4790162037
28799,-39426,38,T,-0.3414,1.0319,-3.5,159.8,70,348,114.0,200,1287276.8951967591
28790,-39420,43,A,0.7504,0.932,33.1,-133.3,41,196,382.0,467,1287454.7299189814
28782,-39415,10,P,1.433,0.184,71.5,-62.0,0,84,0.0,0,1287602.241701389
28780,-39414,48,P,-1.0692,0.8888,-70.6,-20.4,0,312,0.0,0,1287631.5245254629
28771,-39408,53,P,1.4418,0.2161,71.0,-84.7,0,236,0.0,0,1287808.7218287035
28763,-39403,20,T,0.7399,1.0429,43.0,130.6,42,155,211.0,203,1287956.925763889
28754,-39397,25,A,-0.8498,0.9689,-49.0,65.9,31,27,210.0,164,1288133.0850462962
